Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2021;Art,Art;Licence Electronique, Génie électrique, EEA;0;0.0;0
2021;Art,Art;Licence Formation générale aux métiers de l ingénieur;0;0.0;0
2021;Art,Art;Licence LEA;0;0.0;0
2021;Art,Art;Licence Mathématiques;0;0.0;0
2021;Art,Art;Licence Mathématiques et informatique;0;0.0;0
2021;Art,Art;Licence STAPS;0;0.0;0
2021;Art,Art;Licence Sciences politiques;0;0.0;0
2021;Art,Art;Licence Sciences religieuses;0;0.0;0
2021;Art,Art;Licence Sciences économiques;0;0.0;0
2021;Art,Art;BUT Service;0;0.0;0
2021;Art,Art;CPGE ECG;0;0.0;0
2021;Art,Art;CPGE S;0;0.0;0
2021;Art,Art;Autres formations;1;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Chimie;4;1.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Informatique;7;2.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Langues et littératures étrangères;317;236.0;66
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;1;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Langues - Sciences humaines;143;99.0;23
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Lettres - Sciences du langage - Arts;50;32.0;5
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences économiques - Gestion;60;24.0;9
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de gestion;15;6.0;2
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l univers, de la terre, de l espace;4;3.0;1
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences et technologies industrielles;14;4.0;2
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence L.AS;1118;36.0;12
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;BUT Service;430;93.0;49
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles d'ingénieurs;3;0.0;0
2021;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Ecoles de Commerce;35;19.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Archéologie, Ethno, Préhistoire, Anthropologie;79;35.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Formation générale aux métiers de l ingénieur;3;0.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Mathématiques;7;1.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Langues;8;4.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Sciences du langage - Arts;90;66.0;11
2021;Art,Humanités, Littérature et Philosophie;Licence Pluri Sciences humaines et sociales;4;1.0;0
2021;Art,Humanités, Littérature et Philosophie;Licence STAPS;91;35.0;16
2021;Art,Humanités, Littérature et Philosophie;Licence Sciences de l éducation;238;106.0;44
2021;Art,Humanités, Littérature et Philosophie;Licence Sciences du langage - Linguistique;154;92.0;13
2021;Art,Humanités, Littérature et Philosophie;BTS Production;112;18.0;10
2021;Art,Humanités, Littérature et Philosophie;Ecoles d'ingénieurs;1;0.0;0
2021;Art,Humanités, Littérature et Philosophie;D.E  social;104;20.0;16
2021;Art,Humanités, Littérature et Philosophie;Formations d'ART;981;270.0;162
2021;Art,Humanités, Littérature et Philosophie;DCG;7;0.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence AES;128;57.0;11
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Chimie;5;1.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Histoire;904;693.0;213
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Langues et littératures françaises;1045;643.0;140
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence MASS;5;3.0;1
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences humaines et sociales;14;7.0;2
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence STAPS;160;51.0;23
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;444;204.0;68
2021;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences et technologies industrielles;22;7.0;3
2021;Art,Langues, littératures et cultures étrangères et régionales;Autres formations;1165;312.0;163
2021;Art,Langues, littératures et cultures étrangères et régionales;CUPGE;2;0.0;0
2021;Art,Langues, littératures et cultures étrangères et régionales;DEUST;93;20.0;7
2021;Art,Mathématiques Spécialité;Licence Arts;808;618.0;226
2021;Art,Mathématiques Spécialité;Licence Electronique, Génie électrique, EEA;1;0.0;0
2021;Art,Mathématiques Spécialité;Licence Langues et littératures étrangères;172;137.0;29
2021;Art,Mathématiques Spécialité;Licence Mathématiques et informatique;3;1.0;0
2021;Art,Mathématiques Spécialité;Licence Philosophie, Epistémologie;42;22.0;3
2021;Art,Mathématiques Spécialité;Licence Physique;15;7.0;3
2021;Art,Mathématiques Spécialité;Licence Physique et chimie;8;3.0;1
2021;Art,Mathématiques Spécialité;Licence Pluri Sciences;5;2.0;0
2021;Art,Mathématiques Spécialité;Licence Pluri Sciences économiques - Gestion;87;47.0;11
